Index,Day,ID,daylength,leaves,days_since_germ,days_since_trueleaf,,,,,,ID,Day_length,Mutilated,Date_germ,Date_trueleaf,Days from germination to first true leaf,Date 2nd leaf,Date infl. emerge,germ to repro,true leaf to repro
1,9/28/2022,S1,Short,NA,6,,,,,,,S1,Short,,9/22,10/3,11,10/11,11/30,69,58
2,9/29/2022,S1,Short,NA,7,,,,,,,S2,Short,MUTILATED,9/22,9/30,8,10/10,11/30,69,61
3,9/30/2022,S1,Short,NA,8,,,,,,,S3,Short,,9/22,10/1,9,10/10,11/30,69,60
4,10/1/2022,S1,Short,NA,9,,,,,,,S4,Short,,9/22,10/4,12,10/9,,,
5,10/2/2022,S1,Short,NA,10,,,,,,,S5A,Short,,9/22,10/1,9,10/9,12/2,71,62
6,10/3/2022,S1,Short,NA,11,,,,,,,S5B,,,9/22,10/1,9,10/9,12/4,73,64
7,10/4/2022,S1,Short,NA,12,,,,,,,S6,Short,,9/22,10/4,12,10/19,,,
8,10/5/2022,S1,Short,2,13,2,,,,,,S7A,Short,,9/23,10/1,8,10/14,11/30,68,60
9,10/6/2022,S1,Short,NA,14,3,,,,,,S7B,,,9/23,10/1,8,10/14,12/4,72,64
10,10/7/2022,S1,Short,NA,15,4,,,,,,S9,Short,,9/23,9/30,7,10/7,12/17,85,78
11,10/8/2022,S1,Short,NA,16,5,,,,,,S10,Short,,9/23,10/1,8,10/19,,,
12,10/9/2022,S1,Short,NA,17,6,,,,,,S11,Short,,9/23,10/1,8,10/5,11/30,68,60
13,10/10/2022,S1,Short,NA,18,7,,,,,,S12,Short,,9/23,10/2,9,10/9,,,
14,10/11/2022,S1,Short,NA,19,8,,,,,,S13,Short,,9/25,10/7,12,10/16,11/30,66,54
15,10/12/2022,S1,Short,NA,20,9,,,,,,S15,Short,,9/25,10/4,9,10/10,11/30,66,57
16,10/13/2022,S1,Short,NA,21,10,,,,,,S16,Short,,9/25,10/7,12,10/12,,,
17,10/14/2022,S1,Short,NA,22,11,,,,,,S17,Short,,9/25,10/6,11,10/10,12/2,68,57
18,10/15/2022,S1,Short,NA,23,12,,,,,,S18,Short,MUTILATED,9/26,10/6,10,10/10,11/30,65,55
19,10/16/2022,S1,Short,NA,24,13,,,,,,S20,Short,,9/26,10/10,14,10/17,,,
20,10/17/2022,S1,Short,NA,25,14,,,,,,S21,Short,,9/26,10/12,16,10/17,11/30,65,49
21,10/18/2022,S1,Short,NA,26,15,,,,,,S22,Short,MUTILATED,9/26,10/7,11,10/18,11/30,65,54
22,10/19/2022,S1,Short,NA,27,16,,,,,,S23,Short,,9/26,10/8,12,10/12,12/15,80,68
23,10/21/2022,S1,Short,3,29,18,,,,,,S24,Short,,9/26,10/6,10,10/12,11/30,65,55
24,10/24/2022,S1,Short,NA,32,21,,,,,,S25,Short,,9/27,10/4,7,10/12,11/30,64,57
25,10/24/2022,S1,Short,3,32,21,,,,,,S26,Short,,9/29,10/12,13,10/19,12/4,66,53
26,10/25/2022,S1,Short,NA,33,22,,,,,,S27,Short,,9/29,10/12,13,10/14,12/4,66,53
27,10/26/2022,S1,Short,4,34,23,,,,,,S29,Short,,10/10,10/12,2,10/16,11/30,51,49
28,10/27/2022,S1,Short,4,35,24,,,,,,S30,Short,MUTILATED,10/10,10/19,9,10/16,,,
29,10/31/2022,S1,Short,5,39,28,,,,,,S31,Short,MUTILATED,10/10,10/17,7,10/24,11/30,51,44
30,11/2/2022,S1,Short,5,41,30,,,,,,S32,Short,,10/12,10/19,7,,11/30,49,42
31,11/4/2022,S1,Short,5,43,32,,,,,,S33A,Short,,10/17,10/21,4,,,,
32,11/7/2022,S1,Short,6,46,35,,,,,,S33B,,,10/17,11/2,16,,,,
33,11/9/2022,S1,Short,7,48,37,,,,,,S34A,Short,,10/17,10/21,4,,,,
34,11/11/2022,S1,Short,7,50,39,,,,,,S34B,,,10/17,10/24,7,,,,
35,11/14/2022,S1,Short,8,53,42,,,,,,S35,Short,,10/17,10/24,7,,,,
36,11/16/2022,S1,Short,8,55,44,,,,,,S37,Short,,10/17,10/24,7,,,,
37,11/18/2022,S1,Short,8,57,46,,,,,,S38,Short,,10/17,10/25,8,,,,
38,11/20/2022,S1,Short,9,59,48,,,,,,S39,Short,,10/17,10/27,10,,,,
39,11/23/2022,S1,Short,10,62,51,,,,,,S40A,Short,,10/17,10/24,7,,,,
40,11/26/2022,S1,Short,10,65,54,,,,,,S40B,,,10/17,11/2,16,,,,
41,11/28/2022,S1,Short,11,67,56,,,,,,S41,Short,,10/19,10/21,2,,,,
42,11/30/2022,S1,Short,11,69,58,,,,,,S42,Short,,10/21,10/26,5,,,,
43,12/2/2022,S1,Short,12,71,60,,,,,,L1,Long,,9/22,9/27,5,9/29,11/26,65,60
44,12/4/2022,S1,Short,12,73,62,,,,,,L2,Long,MUTILATED,9/22,9/27,5,9/29,11/30,69,64
45,12/6/2022,S1,Short,12,75,64,,,,,,L3,Long,,9/22,9/30,8,10/2,11/30,69,61
46,12/10/2022,S1,Short,16,79,68,,,,,,L4,Long,MUTILATED,9/25,10/3,8,10/9,11/28,64,56
47,12/11/2022,S1,Short,NA,80,69,,,,,,L5,Long,MUTILATED,9/25,10/3,8,10/9,11/26,62,54
48,12/13/2022,S1,Short,16,82,71,,,,,,L6,Long,,9/26,10/10,14,10/11,11/26,61,47
49,12/15/2022,S1,Short,16,84,73,,,,,,L7,Long,,10/2,10/7,5,10/11,11/26,55,50
50,12/17/2022,S1,Short,16,86,75,,,,,,L8,Long,MUTILATED,10/2,10/6,4,10/14,11/28,57,53
51,9/28/2022,S2,Short,NA,6,,,,,,,L9,Long,,10/3,10/8,5,10/19,11/28,56,51
52,9/29/2022,S2,Short,NA,7,,,,,,,L11,Long,,10/3,10/8,5,,11/26,54,49
53,9/30/2022,S2,Short,NA,8,,,,,,,L12,Long,,10/6,10/17,11,,11/28,53,42
54,10/1/2022,S2,Short,NA,9,,,,,,,L13,Long,MUTILATED,10/11,10/16,5,,11/30,50,45
55,10/2/2022,S2,Short,NA,10,,,,,,,L14,Long,,10/11,10/17,6,,11/26,46,40
56,10/3/2022,S2,Short,NA,11,,,,,,,L15,Long,,10/17,10/19,2,10/24,12/6,50,48
57,10/4/2022,S2,Short,NA,12,,,,,,,L16,Long,,10/17,10/21,4,10/24,12/11,55,51
58,10/5/2022,S2,Short,NA,13,,,,,,,L17A,Long,,10/17,10/21,4,10/23,12/15/22,59,55
59,10/6/2022,S2,Short,NA,14,,,,,,,L17B,,,10/17,10/31,14,,12/6,50,36
60,10/7/2022,S2,Short,NA,15,,,,,,,L18,Long,,10/17,10/25,8,,12/6,50,42
61,10/8/2022,S2,Short,NA,16,,,,,,,L19,Long,,10/17,10/24,7,,,,
62,10/9/2022,S2,Short,NA,17,,,,,,,L20,Long,,10/25,10/31,6,,,,
63,10/10/2022,S2,Short,2,18,10,,,,,,L21,Long,,10/25,10/26,1,,,,
64,10/11/2022,S2,Short,NA,19,11,,,,,,L24,Long,,10/26,10/26,0,,,,
65,10/12/2022,S2,Short,NA,20,12,,,,,,L25,Long,,11/3,11/7,4,,,,
66,10/13/2022,S2,Short,NA,21,13,,,,,,L26A,Long,,11/3,11/7,4,,,,
67,10/14/2022,S2,Short,NA,22,14,,,,,,L26B,,,11/3,11/7,4,,,,
68,10/15/2022,S2,Short,NA,23,15,,,,,,L27,Long,,11/3,11/8,5,,,,
69,10/16/2022,S2,Short,NA,24,16,,,,,,L28,Long,,11/3,11/7,4,,12/17/22,44,40
70,10/17/2022,S2,Short,NA,25,17,,,,,,L30,Long,,11/3,11/7,4,,,,
71,10/18/2022,S2,Short,NA,26,18,,,,,,L31A,Long,,11/3,11/7,4,,12/17/22,44,40
72,10/19/2022,S2,Short,NA,27,19,,,,,,L31B,,,11/3,11/7,4,,,,
73,10/21/2022,S2,Short,4,29,21,,,,,,L32,Long,,11/3,11/7,4,,,,
74,10/24/2022,S2,Short,NA,32,24,,,,,,L33,Long,,11/3,11/7,4,,,,
75,10/24/2022,S2,Short,5,32,24,,,,,,L34,Long,,11/3,11/7,4,,,,
76,10/25/2022,S2,Short,NA,33,25,,,,,,L35A,Long,,11/3,11/7,4,,,,
77,10/26/2022,S2,Short,5,34,26,,,,,,L35B,,,11/3,11/11,8,,,,
78,10/27/2022,S2,Short,5,35,27,,,,,,L36,Long,,11/3,11/7,4,,,,
79,10/31/2022,S2,Short,5,39,31,,,,,,L37,Long,,11/4,11/7,3,,,,
80,11/2/2022,S2,Short,5,41,33,,,,,,L38,Long,,11/4,11/7,3,,,,
81,11/4/2022,S2,Short,5,43,35,,,,,,L41,Long,,11/4,11/14,10,,,,
82,11/7/2022,S2,Short,6,46,38,,,,,,L42,Long,,11/4,11/9,5,,,,
83,11/9/2022,S2,Short,6,48,40,,,,,,L43,Long,,11/7,11/9,2,,12/13,36,34
84,11/11/2022,S2,Short,7,50,42,,,,,,L44,Long,,11/7,11/9,2,,,,
85,11/14/2022,S2,Short,9,53,45,,,,,,L45,Long,,11/7,11/9,2,,,,
86,11/16/2022,S2,Short,9,55,47,,,,,,L46,Long,,11/7,11/9,2,,,,
87,11/18/2022,S2,Short,9,57,49,,,,,,L47,Long,,11/7,11/9,2,,,,
88,11/20/2022,S2,Short,11,59,51,,,,,,L48,Long,,11/7,11/9,2,,,,
89,11/23/2022,S2,Short,11,62,54,,,,,,L50,Long,,11/7,11/14,7,,,,
90,11/26/2022,S2,Short,13,65,57,,,,,,L51,Long,,11/7,11/11,4,,,,
91,11/28/2022,S2,Short,13,67,59,,,,,,L52,Long,,11/7,11/11,4,,,,
92,11/30/2022,S2,Short,13,69,61,,,,,,L53,Long,,11/7,11/11,4,,,,
93,12/2/2022,S2,Short,12,71,63,,,,,,L54,Long,,11/7,11/11,4,,12/2,25,21
94,12/4/2022,S2,Short,12,73,65,,,,,,L55,Long,,11/7,11/11,4,,,,
95,12/6/2022,S2,Short,12,75,67,,,,,,L56,Long,,11/7,11/11,4,,,,
96,12/10/2022,S2,Short,NA,79,71,,,,,,L57,Long,,11/7,11/11,4,,,,
97,12/11/2022,S2,Short,NA,80,72,,,,,,L58,Long,,11/7,11/11,4,,,,
98,12/13/2022,S2,Short,NA,82,74,,,,,,L59,Long,,11/7,11/14,7,,,,
99,12/15/2022,S2,Short,NA,84,76,,,,,,L61,,,,11/11,,,,,
100,12/17/2022,S2,Short,NA,86,78,,,,,,L62,,,,11/9,,,,,
101,9/28/2022,S3,Short,NA,6,,,,,,,L63,,,,11/11,,,,,
102,9/29/2022,S3,Short,NA,7,,,,,,,,,,,,,,,,
103,9/30/2022,S3,Short,NA,8,,,,,,,,,,,,,,,,
104,10/1/2022,S3,Short,NA,9,,,,,,,,,,,,,,,,
105,10/2/2022,S3,Short,NA,10,,,,,,,,,,,,,,,,
106,10/3/2022,S3,Short,NA,11,,,,,,,,,,,,,,,,
107,10/4/2022,S3,Short,NA,12,,,,,,,,,,,,,,,,
108,10/5/2022,S3,Short,NA,13,,,,,,,,,,,,,,,,
109,10/6/2022,S3,Short,NA,14,,,,,,,,,,,,,,,,
110,10/7/2022,S3,Short,NA,15,,,,,,,,,,,,,,,,
111,10/8/2022,S3,Short,NA,16,,,,,,,,,,,,,,,,
112,10/9/2022,S3,Short,NA,17,,,,,,,,,,,,,,,,
113,10/10/2022,S3,Short,2,18,9,,,,,,,,,,,,,,,
114,10/11/2022,S3,Short,NA,19,10,,,,,,,,,,,,,,,
115,10/12/2022,S3,Short,NA,20,11,,,,,,,,,,,,,,,
116,10/13/2022,S3,Short,NA,21,12,,,,,,,,,,,,,,,
117,10/14/2022,S3,Short,NA,22,13,,,,,,,,,,,,,,,
118,10/15/2022,S3,Short,NA,23,14,,,,,,,,,,,,,,,
119,10/16/2022,S3,Short,NA,24,15,,,,,,,,,,,,,,,
120,10/17/2022,S3,Short,NA,25,16,,,,,,,,,,,,,,,
121,10/18/2022,S3,Short,NA,26,17,,,,,,,,,,,,,,,
122,10/19/2022,S3,Short,4,27,18,,,,,,,,,,,,,,,
123,10/21/2022,S3,Short,NA,29,20,,,,,,,,,,,,,,,
124,10/24/2022,S3,Short,5,32,23,,,,,,,,,,,,,,,
125,10/24/2022,S3,Short,5,32,23,,,,,,,,,,,,,,,
126,10/25/2022,S3,Short,NA,33,24,,,,,,,,,,,,,,,
127,10/26/2022,S3,Short,5,34,25,,,,,,,,,,,,,,,
128,10/27/2022,S3,Short,5,35,26,,,,,,,,,,,,,,,
129,10/31/2022,S3,Short,5,39,30,,,,,,,,,,,,,,,
130,11/2/2022,S3,Short,5,41,32,,,,,,,,,,,,,,,
131,11/4/2022,S3,Short,6,43,34,,,,,,,,,,,,,,,
132,11/7/2022,S3,Short,7,46,37,,,,,,,,,,,,,,,
133,11/9/2022,S3,Short,7,48,39,,,,,,,,,,,,,,,
134,11/11/2022,S3,Short,8,50,41,,,,,,,,,,,,,,,
135,11/14/2022,S3,Short,8,53,44,,,,,,,,,,,,,,,
136,11/16/2022,S3,Short,10,55,46,,,,,,,,,,,,,,,
137,11/18/2022,S3,Short,11,57,48,,,,,,,,,,,,,,,
138,11/20/2022,S3,Short,11,59,50,,,,,,,,,,,,,,,
139,11/23/2022,S3,Short,12,62,53,,,,,,,,,,,,,,,
140,11/26/2022,S3,Short,14,65,56,,,,,,,,,,,,,,,
141,11/28/2022,S3,Short,15,67,58,,,,,,,,,,,,,,,
142,11/30/2022,S3,Short,15,69,60,,,,,,,,,,,,,,,
143,12/2/2022,S3,Short,15,71,62,,,,,,,,,,,,,,,
144,12/4/2022,S3,Short,17,73,64,,,,,,,,,,,,,,,
145,12/6/2022,S3,Short,18,75,66,,,,,,,,,,,,,,,
146,12/10/2022,S3,Short,19,79,70,,,,,,,,,,,,,,,
147,12/11/2022,S3,Short,NA,80,71,,,,,,,,,,,,,,,
148,12/13/2022,S3,Short,19,82,73,,,,,,,,,,,,,,,
149,12/15/2022,S3,Short,19,84,75,,,,,,,,,,,,,,,
150,12/17/2022,S3,Short,19,86,77,,,,,,,,,,,,,,,
151,9/28/2022,S4,Short,NA,6,,,,,,,,,,,,,,,,
152,9/29/2022,S4,Short,NA,7,,,,,,,,,,,,,,,,
153,9/30/2022,S4,Short,NA,8,,,,,,,,,,,,,,,,
154,10/1/2022,S4,Short,NA,9,,,,,,,,,,,,,,,,
155,10/2/2022,S4,Short,NA,10,,,,,,,,,,,,,,,,
156,10/3/2022,S4,Short,NA,11,,,,,,,,,,,,,,,,
157,10/4/2022,S4,Short,NA,12,,,,,,,,,,,,,,,,
158,10/5/2022,S4,Short,NA,13,,,,,,,,,,,,,,,,
159,10/6/2022,S4,Short,NA,14,,,,,,,,,,,,,,,,
160,10/7/2022,S4,Short,NA,15,,,,,,,,,,,,,,,,
161,10/8/2022,S4,Short,NA,16,,,,,,,,,,,,,,,,
162,10/9/2022,S4,Short,2,17,5,,,,,,,,,,,,,,,
163,10/10/2022,S4,Short,NA,18,6,,,,,,,,,,,,,,,
164,10/11/2022,S4,Short,NA,19,7,,,,,,,,,,,,,,,
165,10/12/2022,S4,Short,NA,20,8,,,,,,,,,,,,,,,
166,10/13/2022,S4,Short,NA,21,9,,,,,,,,,,,,,,,
167,10/14/2022,S4,Short,NA,22,10,,,,,,,,,,,,,,,
168,10/15/2022,S4,Short,NA,23,11,,,,,,,,,,,,,,,
169,10/16/2022,S4,Short,NA,24,12,,,,,,,,,,,,,,,
170,10/17/2022,S4,Short,NA,25,13,,,,,,,,,,,,,,,
171,10/18/2022,S4,Short,NA,26,14,,,,,,,,,,,,,,,
172,10/19/2022,S4,Short,4,27,15,,,,,,,,,,,,,,,
173,10/21/2022,S4,Short,NA,29,17,,,,,,,,,,,,,,,
174,10/24/2022,S4,Short,NA,32,20,,,,,,,,,,,,,,,
175,10/24/2022,S4,Short,5,32,20,,,,,,,,,,,,,,,
176,10/25/2022,S4,Short,NA,33,21,,,,,,,,,,,,,,,
177,10/26/2022,S4,Short,NA,34,22,,,,,,,,,,,,,,,
178,10/27/2022,S4,Short,5,35,23,,,,,,,,,,,,,,,
179,10/31/2022,S4,Short,5,39,27,,,,,,,,,,,,,,,
180,11/2/2022,S4,Short,5,41,29,,,,,,,,,,,,,,,
181,11/4/2022,S4,Short,5,43,31,,,,,,,,,,,,,,,
182,11/7/2022,S4,Short,6,46,34,,,,,,,,,,,,,,,
183,11/9/2022,S4,Short,6,48,36,,,,,,,,,,,,,,,
184,11/11/2022,S4,Short,7,50,38,,,,,,,,,,,,,,,
185,11/14/2022,S4,Short,8,53,41,,,,,,,,,,,,,,,
186,11/16/2022,S4,Short,9,55,43,,,,,,,,,,,,,,,
187,11/18/2022,S4,Short,9,57,45,,,,,,,,,,,,,,,
188,11/20/2022,S4,Short,9,59,47,,,,,,,,,,,,,,,
189,11/23/2022,S4,Short,10,62,50,,,,,,,,,,,,,,,
190,11/26/2022,S4,Short,11,65,53,,,,,,,,,,,,,,,
191,11/28/2022,S4,Short,11,67,55,,,,,,,,,,,,,,,
192,11/30/2022,S4,Short,11,69,57,,,,,,,,,,,,,,,
193,12/2/2022,S4,Short,12,71,59,,,,,,,,,,,,,,,
194,12/4/2022,S4,Short,14,73,61,,,,,,,,,,,,,,,
195,12/6/2022,S4,Short,14,75,63,,,,,,,,,,,,,,,
196,12/10/2022,S4,Short,15,79,67,,,,,,,,,,,,,,,
197,12/11/2022,S4,Short,NA,80,68,,,,,,,,,,,,,,,
198,12/13/2022,S4,Short,15,82,70,,,,,,,,,,,,,,,
199,12/15/2022,S4,Short,15,84,72,,,,,,,,,,,,,,,
200,12/17/2022,S4,Short,17,86,74,,,,,,,,,,,,,,,
201,9/28/2022,S5A,Short,NA,6,,,,,,,,,,,,,,,,
202,9/29/2022,S5A,Short,NA,7,,,,,,,,,,,,,,,,
203,9/30/2022,S5A,Short,NA,8,,,,,,,,,,,,,,,,
204,10/1/2022,S5A,Short,NA,9,,,,,,,,,,,,,,,,
205,10/2/2022,S5A,Short,NA,10,,,,,,,,,,,,,,,,
206,10/3/2022,S5A,Short,NA,11,,,,,,,,,,,,,,,,
207,10/4/2022,S5A,Short,NA,12,,,,,,,,,,,,,,,,
208,10/5/2022,S5A,Short,NA,13,,,,,,,,,,,,,,,,
209,10/6/2022,S5A,Short,NA,14,,,,,,,,,,,,,,,,
210,10/7/2022,S5A,Short,NA,15,,,,,,,,,,,,,,,,
211,10/8/2022,S5A,Short,NA,16,,,,,,,,,,,,,,,,
212,10/9/2022,S5A,Short,2,17,8,,,,,,,,,,,,,,,
213,10/10/2022,S5A,Short,NA,18,9,,,,,,,,,,,,,,,
214,10/11/2022,S5A,Short,NA,19,10,,,,,,,,,,,,,,,
215,10/12/2022,S5A,Short,NA,20,11,,,,,,,,,,,,,,,
216,10/13/2022,S5A,Short,NA,21,12,,,,,,,,,,,,,,,
217,10/14/2022,S5A,Short,NA,22,13,,,,,,,,,,,,,,,
218,10/15/2022,S5A,Short,NA,23,14,,,,,,,,,,,,,,,
219,10/16/2022,S5A,Short,NA,24,15,,,,,,,,,,,,,,,
220,10/17/2022,S5A,Short,NA,25,16,,,,,,,,,,,,,,,
221,10/18/2022,S5A,Short,NA,26,17,,,,,,,,,,,,,,,
222,10/19/2022,S5A,Short,4,27,18,,,,,,,,,,,,,,,
223,10/21/2022,S5A,Short,NA,29,20,,,,,,,,,,,,,,,
224,10/24/2022,S5A,Short,4,32,23,,,,,,,,,,,,,,,
225,10/24/2022,S5A,Short,4,32,23,,,,,,,,,,,,,,,
226,10/25/2022,S5A,Short,NA,33,24,,,,,,,,,,,,,,,
227,10/26/2022,S5A,Short,4,34,25,,,,,,,,,,,,,,,
228,10/27/2022,S5A,Short,4,35,26,,,,,,,,,,,,,,,
229,10/31/2022,S5A,Short,4,39,30,,,,,,,,,,,,,,,
230,11/2/2022,S5A,Short,4,41,32,,,,,,,,,,,,,,,
231,11/4/2022,S5A,Short,4,43,34,,,,,,,,,,,,,,,
232,11/7/2022,S5A,Short,4,46,37,,,,,,,,,,,,,,,
233,11/9/2022,S5A,Short,5,48,39,,,,,,,,,,,,,,,
234,11/11/2022,S5A,Short,6,50,41,,,,,,,,,,,,,,,
235,11/14/2022,S5A,Short,7,53,44,,,,,,,,,,,,,,,
236,11/16/2022,S5A,Short,8,55,46,,,,,,,,,,,,,,,
237,11/18/2022,S5A,Short,8,57,48,,,,,,,,,,,,,,,
238,11/20/2022,S5A,Short,9,59,50,,,,,,,,,,,,,,,
239,11/23/2022,S5A,Short,9,62,53,,,,,,,,,,,,,,,
240,11/26/2022,S5A,Short,10,65,56,,,,,,,,,,,,,,,
241,11/28/2022,S5A,Short,11,67,58,,,,,,,,,,,,,,,
242,11/30/2022,S5A,Short,13,69,60,,,,,,,,,,,,,,,
243,12/2/2022,S5A,Short,14,71,62,,,,,,,,,,,,,,,
244,12/4/2022,S5A,Short,15,73,64,,,,,,,,,,,,,,,
245,12/6/2022,S5A,Short,15,75,66,,,,,,,,,,,,,,,
246,12/10/2022,S5A,Short,16,79,70,,,,,,,,,,,,,,,
247,12/11/2022,S5A,Short,NA,80,71,,,,,,,,,,,,,,,
248,12/13/2022,S5A,Short,16,82,73,,,,,,,,,,,,,,,
249,12/15/2022,S5A,Short,17,84,75,,,,,,,,,,,,,,,
250,12/17/2022,S5A,Short,17,86,77,,,,,,,,,,,,,,,
251,9/28/2022,S5B,Short,NA,6,,,,,,,,,,,,,,,,
252,9/29/2022,S5B,Short,NA,7,,,,,,,,,,,,,,,,
253,9/30/2022,S5B,Short,NA,8,,,,,,,,,,,,,,,,
254,10/1/2022,S5B,Short,NA,9,,,,,,,,,,,,,,,,
255,10/2/2022,S5B,Short,NA,10,,,,,,,,,,,,,,,,
256,10/3/2022,S5B,Short,NA,11,,,,,,,,,,,,,,,,
257,10/4/2022,S5B,Short,NA,12,,,,,,,,,,,,,,,,
258,10/5/2022,S5B,Short,NA,13,,,,,,,,,,,,,,,,
259,10/6/2022,S5B,Short,NA,14,,,,,,,,,,,,,,,,
260,10/7/2022,S5B,Short,NA,15,,,,,,,,,,,,,,,,
261,10/8/2022,S5B,Short,NA,16,,,,,,,,,,,,,,,,
262,10/9/2022,S5B,Short,NA,17,,,,,,,,,,,,,,,,
263,10/10/2022,S5B,Short,NA,18,,,,,,,,,,,,,,,,
264,10/11/2022,S5B,Short,NA,19,,,,,,,,,,,,,,,,
265,10/12/2022,S5B,Short,NA,20,,,,,,,,,,,,,,,,
266,10/13/2022,S5B,Short,NA,21,,,,,,,,,,,,,,,,
267,10/14/2022,S5B,Short,NA,22,,,,,,,,,,,,,,,,
268,10/15/2022,S5B,Short,NA,23,,,,,,,,,,,,,,,,
269,10/16/2022,S5B,Short,NA,24,,,,,,,,,,,,,,,,
270,10/17/2022,S5B,Short,NA,25,,,,,,,,,,,,,,,,
271,10/18/2022,S5B,Short,NA,26,,,,,,,,,,,,,,,,
272,10/19/2022,S5B,Short,NA,27,,,,,,,,,,,,,,,,
273,10/21/2022,S5B,Short,NA,29,,,,,,,,,,,,,,,,
274,10/24/2022,S5B,Short,NA,32,,,,,,,,,,,,,,,,
275,10/24/2022,S5B,Short,NA,32,,,,,,,,,,,,,,,,
276,10/25/2022,S5B,Short,NA,33,,,,,,,,,,,,,,,,
277,10/26/2022,S5B,Short,NA,34,,,,,,,,,,,,,,,,
278,10/27/2022,S5B,Short,NA,35,,,,,,,,,,,,,,,,
279,10/31/2022,S5B,Short,4,39,30,,,,,,,,,,,,,,,
280,11/2/2022,S5B,Short,4,41,32,,,,,,,,,,,,,,,
281,11/4/2022,S5B,Short,5,43,34,,,,,,,,,,,,,,,
282,11/7/2022,S5B,Short,5,46,37,,,,,,,,,,,,,,,
283,11/9/2022,S5B,Short,6,48,39,,,,,,,,,,,,,,,
284,11/11/2022,S5B,Short,7,50,41,,,,,,,,,,,,,,,
285,11/14/2022,S5B,Short,8,53,44,,,,,,,,,,,,,,,
286,11/16/2022,S5B,Short,9,55,46,,,,,,,,,,,,,,,
287,11/18/2022,S5B,Short,9,57,48,,,,,,,,,,,,,,,
288,11/20/2022,S5B,Short,9,59,50,,,,,,,,,,,,,,,
289,11/23/2022,S5B,Short,10,62,53,,,,,,,,,,,,,,,
290,11/26/2022,S5B,Short,12,65,56,,,,,,,,,,,,,,,
291,11/28/2022,S5B,Short,12,67,58,,,,,,,,,,,,,,,
292,11/30/2022,S5B,Short,12,69,60,,,,,,,,,,,,,,,
293,12/2/2022,S5B,Short,14,71,62,,,,,,,,,,,,,,,
294,12/4/2022,S5B,Short,14,73,64,,,,,,,,,,,,,,,
295,12/6/2022,S5B,Short,14,75,66,,,,,,,,,,,,,,,
296,12/10/2022,S5B,Short,15,79,70,,,,,,,,,,,,,,,
297,12/11/2022,S5B,Short,NA,80,71,,,,,,,,,,,,,,,
298,12/13/2022,S5B,Short,15,82,73,,,,,,,,,,,,,,,
299,12/15/2022,S5B,Short,15,84,75,,,,,,,,,,,,,,,
300,12/17/2022,S5B,Short,15,86,77,,,,,,,,,,,,,,,
301,9/28/2022,S6,Short,NA,6,,,,,,,,,,,,,,,,
302,9/29/2022,S6,Short,NA,7,,,,,,,,,,,,,,,,
303,9/30/2022,S6,Short,NA,8,,,,,,,,,,,,,,,,
304,10/1/2022,S6,Short,NA,9,,,,,,,,,,,,,,,,
305,10/2/2022,S6,Short,NA,10,,,,,,,,,,,,,,,,
306,10/3/2022,S6,Short,NA,11,,,,,,,,,,,,,,,,
307,10/4/2022,S6,Short,NA,12,,,,,,,,,,,,,,,,
308,10/5/2022,S6,Short,NA,13,,,,,,,,,,,,,,,,
309,10/6/2022,S6,Short,NA,14,,,,,,,,,,,,,,,,
310,10/7/2022,S6,Short,NA,15,,,,,,,,,,,,,,,,
311,10/8/2022,S6,Short,NA,16,,,,,,,,,,,,,,,,
312,10/9/2022,S6,Short,NA,17,,,,,,,,,,,,,,,,
313,10/10/2022,S6,Short,NA,18,,,,,,,,,,,,,,,,
314,10/11/2022,S6,Short,NA,19,,,,,,,,,,,,,,,,
315,10/12/2022,S6,Short,NA,20,,,,,,,,,,,,,,,,
316,10/13/2022,S6,Short,NA,21,,,,,,,,,,,,,,,,
317,10/14/2022,S6,Short,NA,22,,,,,,,,,,,,,,,,
318,10/15/2022,S6,Short,NA,23,,,,,,,,,,,,,,,,
319,10/16/2022,S6,Short,NA,24,,,,,,,,,,,,,,,,
320,10/17/2022,S6,Short,NA,25,,,,,,,,,,,,,,,,
321,10/18/2022,S6,Short,NA,26,,,,,,,,,,,,,,,,
322,10/19/2022,S6,Short,NA,27,,,,,,,,,,,,,,,,
323,10/21/2022,S6,Short,3,29,17,,,,,,,,,,,,,,,
324,10/24/2022,S6,Short,NA,32,20,,,,,,,,,,,,,,,
325,10/24/2022,S6,Short,3,32,20,,,,,,,,,,,,,,,
326,10/25/2022,S6,Short,NA,33,21,,,,,,,,,,,,,,,
327,10/26/2022,S6,Short,3,34,22,,,,,,,,,,,,,,,
328,10/27/2022,S6,Short,3,35,23,,,,,,,,,,,,,,,
329,10/31/2022,S6,Short,3,39,27,,,,,,,,,,,,,,,
330,11/2/2022,S6,Short,5,41,29,,,,,,,,,,,,,,,
331,11/4/2022,S6,Short,5,43,31,,,,,,,,,,,,,,,
332,11/7/2022,S6,Short,6,46,34,,,,,,,,,,,,,,,
333,11/9/2022,S6,Short,5,48,36,,,,,,,,,,,,,,,
334,11/11/2022,S6,Short,6,50,38,,,,,,,,,,,,,,,
335,11/14/2022,S6,Short,6,53,41,,,,,,,,,,,,,,,
336,11/16/2022,S6,Short,7,55,43,,,,,,,,,,,,,,,
337,11/18/2022,S6,Short,7,57,45,,,,,,,,,,,,,,,
338,11/20/2022,S6,Short,8,59,47,,,,,,,,,,,,,,,
339,11/23/2022,S6,Short,8,62,50,,,,,,,,,,,,,,,
